=== monitor_resources.sh started 2026-09-17T04:13:00Z ===
tracking tmux session 'full_scan', process pattern 'odgi', RSS stop limit 100GB
2026-09-17T05:13:57Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5081M wired, 4013M compressor), 22G unused.
2026-09-17T05:14:28Z tracked_rss_gb=0 unused_mb=99999 PhysMem: 80G used (4675M wired, 4013M compressor), 47G unused.
2026-09-17T05:14:58Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4691M wired, 4013M compressor), 22G unused.
2026-09-17T05:15:30Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5091M wired, 4013M compressor), 22G unused.
2026-09-17T05:16:00Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4903M wired, 4013M compressor), 22G unused.
2026-09-17T05:16:31Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (4685M wired, 4012M compressor), 22G unused.
2026-09-17T05:17:02Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5082M wired, 4012M compressor), 22G unused.
2026-09-17T05:17:33Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5067M wired, 4012M compressor), 22G unused.
2026-09-17T05:18:04Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5069M wired, 4012M compressor), 22G unused.
2026-09-17T05:18:35Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5088M wired, 4012M compressor), 22G unused.
2026-09-17T05:19:06Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5083M wired, 4011M compressor), 22G unused.
2026-09-17T05:19:38Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5071M wired, 4011M compressor), 22G unused.
2026-09-17T05:20:09Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5095M wired, 4011M compressor), 22G unused.
2026-09-17T05:20:40Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5092M wired, 4011M compressor), 22G unused.
2026-09-17T05:21:11Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4691M wired, 4011M compressor), 22G unused.
2026-09-17T05:21:42Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5090M wired, 4010M compressor), 22G unused.
2026-09-17T05:22:13Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5079M wired, 4010M compressor), 22G unused.
2026-09-17T05:22:44Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4692M wired, 4010M compressor), 22G unused.
2026-09-17T05:23:15Z tracked_rss_gb=19 unused_mb=99999 PhysMem: 104G used (4696M wired, 4010M compressor), 23G unused.
2026-09-17T05:23:46Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5083M wired, 4010M compressor), 22G unused.
2026-09-17T05:24:17Z tracked_rss_gb=2 unused_mb=99999 PhysMem: 86G used (4675M wired, 4010M compressor), 41G unused.
2026-09-17T05:24:47Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4700M wired, 4010M compressor), 22G unused.
2026-09-17T05:25:18Z tracked_rss_gb=0 unused_mb=99999 PhysMem: 80G used (5075M wired, 4010M compressor), 46G unused.
2026-09-17T05:25:49Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5070M wired, 4010M compressor), 22G unused.
2026-09-17T05:26:20Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4696M wired, 4010M compressor), 22G unused.
2026-09-17T05:26:51Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5075M wired, 4010M compressor), 22G unused.
2026-09-17T05:27:22Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5067M wired, 4010M compressor), 22G unused.
2026-09-17T05:27:53Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5076M wired, 4010M compressor), 22G unused.
2026-09-17T05:28:24Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5077M wired, 4009M compressor), 22G unused.
2026-09-17T05:28:55Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5083M wired, 4009M compressor), 22G unused.
2026-09-17T05:29:26Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5073M wired, 4009M compressor), 22G unused.
2026-09-17T05:29:57Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5079M wired, 4009M compressor), 22G unused.
2026-09-17T05:30:28Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5088M wired, 4009M compressor), 22G unused.
2026-09-17T05:30:59Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4930M wired, 4009M compressor), 22G unused.
2026-09-17T05:31:30Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4686M wired, 4004M compressor), 22G unused.
2026-09-17T05:32:01Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5295M wired, 4004M compressor), 22G unused.
2026-09-17T05:32:32Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5074M wired, 4004M compressor), 22G unused.
2026-09-17T05:33:03Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4677M wired, 4003M compressor), 22G unused.
2026-09-17T05:33:34Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5060M wired, 4003M compressor), 22G unused.
2026-09-17T05:34:05Z tracked_rss_gb=14 unused_mb=99999 PhysMem: 100G used (5063M wired, 4003M compressor), 27G unused.
2026-09-17T05:34:36Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5060M wired, 4003M compressor), 22G unused.
2026-09-17T05:35:07Z tracked_rss_gb=0 unused_mb=99999 PhysMem: 83G used (5059M wired, 4003M compressor), 44G unused.
